Project Name,Location,"Description (Technology, Capacity, Storage, Function)",Operational Year,"Cost (Value & Currency, Funding Source)",Beneficiaries (Number/Type),Intent (Primary Purpose),Picture Link,Under Development
Alcatraz Island Microgrid,"San Francisco Bay, CA, USA","Solar PV (305 kW), Battery (1,920 kWh Lead-Acid), Diesel Generators (~400 kW total). Powers island facilities.",2012,"$7.1M USD (ARRA, NPS, NREL, DOE)","National Park, 1.5M visitors","Diesel reduction, Resilience",http://www.energystorageexchange.org/projects/1095,No
Blue Lake Rancheria Microgrid,"Blue Lake, Humboldt County, CA, USA","Solar PV (420 kW), Battery (500 kW / 950 kWh Tesla BESS), Diesel Generator (1 MW). Powers tribal casino & critical facilities.",2017,"$6.3M USD (CEC EPIC Grant, CPUC SGIP)","Tribal community, emergency shelter","Wildfire resilience, Cost savings",http://2018.schatzcenter.org/wp-content/uploads/2019/01/BLRsolar-aerialfromwest-sm-1024x683.jpg,No
Borrego Springs Microgrid,"Borrego Springs, CA, USA","Solar PV (26 MW + 3 MW rooftop), Battery (community + substation units), Diesel Generators. Supports entire community grid.",2013 (initial),Initial DOE/CEC funding + $5M CEC expansion,"2,800–3,000 customers","Reliability, Research",https://www.sdge.com/sites/default/files/styles/max_1300x1300/public/podcasts/Paragraph%20Image/BorregoSprings_Microgrid_SolarPanels_0.jpg,No
Calvert Island Microgrid,"Calvert Island, British Columbia, Canada","Solar PV, Battery Storage, Diesel Generators – upgrade from diesel-only system for remote research station.",Not Specified,Not Specified,Island research facility,"Diesel reduction, Capacity increase",Not Available,No
Direct Relief Microgrid,"Santa Barbara, CA, USA","Solar PV (320 kW), Battery (676 kWh), Diesel Generator (600 kW). Powers Direct Relief’s medical supply warehouse/HQ.",2018,No upfront cost (Tesla/REC Solar PPA),Humanitarian logistics HQ,"Resilience, Sustainability",https://clean-coalition.org/wp-content/uploads/2018/10/Direct-Relief-Solar-Microgrid-Photo-Credit-Tesla-1024x683.jpg,No
Fort Collins Microgrid (FortZED),"Fort Collins, CO, USA","Solar PV (345 kW), Fuel Cell (5 kW), CHP (700 kW), Microturbines (60 kW) – part of FortZED district demonstration.",Not Specified,DOE & Industry Partner Funded,City innovation district,"Research, Cost reduction",Not Available,No
Kodiak Island Microgrid,"Kodiak Island, AK, USA","Wind Turbines (9 MW), Hydroelectric (30 MW), Battery (3 MW), Flywheels (2 MW), Diesel backup. Nearly 100% renewable-powered island.",2012,"$56M USD (State Grant, CREBs loan)","Island community (~15,000)",Renewable transition,https://kodiakelectric.com/wp-content/uploads/2020/05/PillarMountainWindProject-scaled.jpg,No
Marine Corps Air Station Miramar Microgrid,"San Diego, CA, USA","Solar PV (1.3 MW + smaller units), Landfill Gas Gen (3.2 MW), Diesel/Natural Gas Gen (6.45 MW), Battery Storage (3 MW). Powers USMC base operations.",2019/2020,$19.3M USD (DoD),"100+ buildings, ~15,000 people","Energy security, Cost savings",https://media.defense.gov/2022/Dec/02/2003125500/-1/-1/0/221130-M-VR919-1011.JPG,No
Princeton University Microgrid,"Princeton, NJ, USA","Natural Gas CHP (15 MW), Solar PV (4.5 MW including campus arrays). Powers Princeton campus critical loads.",Pre-2012,$100M USD (overall system),University campus,"Campus resilience, Energy efficiency",https://facilities.princeton.edu/sites/facilities/files/styles/pwds_media_large_no_crop/public/2020-08/SolarPanelArray_0.jpg,No
Ramona Air Attack Base Microgrid,"Ramona, CA, USA","Battery Storage (500 kW / 2,000 kWh). Provides backup power to CAL FIRE/USFS air base (firefighting facilities).",2022,Not Specified,Wildfire air base,"Resilience, Emissions reduction",https://www.sdge.com/sites/default/files/styles/max_1300x1300/public/podcasts/Paragraph%20Image/RamonaMicrogrid_Battery_0.jpg,No
Santa Rita Union School District Microgrids,"Salinas, CA, USA","Solar PV (1.05 MW), Battery (1.09 MWh Sharp SmartStorage). Powers multiple K–12 school sites.",2018,$4.77M USD (CEC EPIC Grant),School district (students & staff),"Cost savings, Educational demo",https://clean-coalition.org/wp-content/uploads/2018/10/Santa-Rita-School-District-Solar-Microgrids-Photo-Credit-Sharp-1024x768.jpg,No
Beaverton Microgrid (PGE),"Beaverton, OR, USA","Solar PV (300 kW), Battery (250 kW), Diesel Generator (1,000 kW). Supports city library & disaster response center.",2019,Not Specified,City facilities,"Resilience, R&D",Not Available,No
Isle of Eigg Electrification Scheme,"Isle of Eigg, Scotland, UK","Hydro (3× ~37 kW), Wind (4× 6 kW), Solar (~50 kW), Battery banks, Diesel backup. 100% off-grid island system.",2008,£1.66M GBP (EU Regional Dev. Fund),Island community (~100 residents),"Energy access, Sustainability",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Wind_turbines_on_Eigg_-_geograph.org.uk-1079013.jpg/1024px-Wind_turbines_on_Eigg-_1079013.jpg,No
